study,studylbl,id,trial,cond,position,dv
1,Study 1A,1,1,1,0,1
1,Study 1A,1,2,1,0,1
1,Study 1A,1,3,1,0,1
1,Study 1A,1,4,1,0,0
1,Study 1A,2,1,1,0,1
1,Study 1A,2,2,0,0,1
1,Study 1A,2,3,0,0,0
1,Study 1A,2,4,0,0,1
1,Study 1A,3,1,0,0,0
1,Study 1A,3,2,0,0,0
1,Study 1A,3,3,0,0,0
1,Study 1A,3,4,0,0,0
1,Study 1A,4,1,0,1,0
1,Study 1A,4,2,1,1,1
1,Study 1A,4,3,1,1,1
1,Study 1A,4,4,1,1,0
1,Study 1A,5,1,0,1,0
1,Study 1A,5,2,1,1,1
1,Study 1A,5,3,1,1,1
1,Study 1A,5,4,1,1,
1,Study 1A,6,1,0,1,0
1,Study 1A,6,2,1,1,1
1,Study 1A,6,3,1,1,1
1,Study 1A,6,4,0,1,0
1,Study 1A,7,1,1,1,1
1,Study 1A,7,2,0,1,0
1,Study 1A,7,3,0,1,1
1,Study 1A,7,4,1,1,1
1,Study 1A,8,1,0,0,0
1,Study 1A,8,2,1,0,1
1,Study 1A,8,3,1,0,0
1,Study 1A,8,4,0,0,0
1,Study 1A,9,1,1,1,1
1,Study 1A,9,2,1,1,1
1,Study 1A,9,3,1,1,1
1,Study 1A,9,4,0,1,1
1,Study 1A,10,1,0,0,1
1,Study 1A,10,2,0,0,0
1,Study 1A,10,3,1,0,1
1,Study 1A,10,4,0,0,1
1,Study 1A,11,1,1,1,1
1,Study 1A,11,2,1,1,1
1,Study 1A,11,3,0,1,0
1,Study 1A,11,4,1,1,
1,Study 1A,12,1,1,0,1
1,Study 1A,12,2,1,0,0
1,Study 1A,12,3,0,0,0
1,Study 1A,12,4,1,0,1
1,Study 1A,13,1,1,0,1
1,Study 1A,13,2,1,0,1
1,Study 1A,13,3,0,0,0
1,Study 1A,13,4,1,0,
1,Study 1A,14,1,0,0,0
1,Study 1A,14,2,0,0,0
1,Study 1A,14,3,1,0,1
1,Study 1A,14,4,0,0,0
1,Study 1A,15,1,1,1,1
1,Study 1A,15,2,1,1,1
1,Study 1A,15,3,1,1,0
1,Study 1A,15,4,0,1,0
1,Study 1A,16,1,0,0,1
1,Study 1A,16,2,0,0,1
1,Study 1A,16,3,0,0,1
1,Study 1A,16,4,1,0,0
1,Study 1A,17,1,0,1,1
1,Study 1A,17,2,1,1,1
1,Study 1A,17,3,1,1,0
1,Study 1A,17,4,1,1,1
1,Study 1A,18,1,1,1,1
1,Study 1A,18,2,0,1,
1,Study 1A,18,3,0,1,0
1,Study 1A,18,4,1,1,1
1,Study 1A,19,1,0,0,0
1,Study 1A,19,2,1,0,1
1,Study 1A,19,3,1,0,1
1,Study 1A,19,4,0,0,0
1,Study 1A,20,1,1,0,0
1,Study 1A,20,2,0,0,0
1,Study 1A,20,3,0,0,0
1,Study 1A,20,4,0,0,
1,Study 1A,21,1,1,1,1
1,Study 1A,21,2,0,1,1
1,Study 1A,21,3,1,1,0
1,Study 1A,21,4,0,1,1
1,Study 1A,22,1,0,1,1
1,Study 1A,22,2,1,1,1
1,Study 1A,22,3,0,1,1
1,Study 1A,22,4,1,1,0
1,Study 1A,23,1,1,0,1
1,Study 1A,23,2,0,0,1
1,Study 1A,23,3,0,0,0
1,Study 1A,23,4,1,0,1
1,Study 1A,24,1,0,0,0
1,Study 1A,24,2,1,0,1
1,Study 1A,24,3,1,0,1
1,Study 1A,24,4,0,0,1
1,Study 1A,25,1,0,1,1
1,Study 1A,25,2,1,1,
1,Study 1A,25,3,0,1,1
1,Study 1A,25,4,1,1,1
1,Study 1A,26,1,1,1,0
1,Study 1A,26,2,0,1,1
1,Study 1A,26,3,1,1,1
1,Study 1A,26,4,0,1,0
1,Study 1A,27,1,1,0,1
1,Study 1A,27,2,1,0,1
1,Study 1A,27,3,0,0,
1,Study 1A,27,4,1,0,
1,Study 1A,28,1,0,1,1
1,Study 1A,28,2,0,1,1
1,Study 1A,28,3,1,1,1
1,Study 1A,28,4,0,1,0
1,Study 1A,29,1,1,0,1
1,Study 1A,29,2,1,0,1
1,Study 1A,29,3,1,0,0
1,Study 1A,29,4,0,0,0
1,Study 1A,30,1,0,0,0
1,Study 1A,30,2,0,0,1
1,Study 1A,30,3,0,0,0
1,Study 1A,30,4,1,0,1
1,Study 1A,31,1,0,0,1
1,Study 1A,31,2,0,0,0
1,Study 1A,31,3,0,0,1
1,Study 1A,31,4,1,0,0
1,Study 1A,32,1,1,1,1
1,Study 1A,32,2,1,1,1
1,Study 1A,32,3,1,1,1
1,Study 1A,32,4,0,1,1
1,Study 1A,33,1,1,1,1
1,Study 1A,33,2,0,1,1
1,Study 1A,33,3,0,1,0
1,Study 1A,33,4,0,1,0
1,Study 1A,34,1,0,1,1
1,Study 1A,34,2,1,1,1
1,Study 1A,34,3,1,1,0
1,Study 1A,34,4,1,1,1
1,Study 1A,35,1,1,0,1
1,Study 1A,35,2,0,0,0
1,Study 1A,35,3,0,0,0
1,Study 1A,35,4,0,0,1
1,Study 1A,36,1,1,0,1
1,Study 1A,36,2,0,0,1
1,Study 1A,36,3,0,0,0
1,Study 1A,36,4,1,0,1
1,Study 1A,37,1,0,1,1
1,Study 1A,37,2,1,1,0
1,Study 1A,37,3,1,1,1
1,Study 1A,37,4,0,1,1
1,Study 1A,38,1,0,0,1
1,Study 1A,38,2,1,0,1
1,Study 1A,38,3,1,0,0
1,Study 1A,38,4,1,0,0
1,Study 1A,39,1,1,1,1
1,Study 1A,39,2,1,1,1
1,Study 1A,39,3,1,1,
1,Study 1A,39,4,1,1,
1,Study 1A,40,1,0,1,1
1,Study 1A,40,2,0,1,1
1,Study 1A,40,3,0,1,0
1,Study 1A,40,4,0,1,0
1,Study 1A,41,1,1,0,0
1,Study 1A,41,2,0,0,1
1,Study 1A,41,3,1,0,1
1,Study 1A,41,4,0,0,0
1,Study 1A,42,1,0,0,0
1,Study 1A,42,2,1,0,1
1,Study 1A,42,3,0,0,1
1,Study 1A,42,4,1,0,0
1,Study 1A,43,1,0,1,0
1,Study 1A,43,2,0,1,0
1,Study 1A,43,3,0,1,1
1,Study 1A,43,4,1,1,0
1,Study 1A,44,1,1,0,1
1,Study 1A,44,2,1,0,0
1,Study 1A,44,3,1,0,0
1,Study 1A,44,4,0,0,1
1,Study 1A,45,1,1,1,1
1,Study 1A,45,2,0,1,1
1,Study 1A,45,3,0,1,0
1,Study 1A,45,4,1,1,1
1,Study 1A,46,1,0,1,1
1,Study 1A,46,2,1,1,1
1,Study 1A,46,3,1,1,0
1,Study 1A,46,4,0,1,0
1,Study 1A,47,1,0,1,0
1,Study 1A,47,2,1,1,1
1,Study 1A,47,3,1,1,1
1,Study 1A,47,4,0,1,0
1,Study 1A,48,1,0,1,0
1,Study 1A,48,2,1,1,1
1,Study 1A,48,3,1,1,1
1,Study 1A,48,4,0,1,0
1,Study 1A,49,1,1,0,1
1,Study 1A,49,2,0,0,
1,Study 1A,49,3,0,0,
1,Study 1A,49,4,1,0,1
1,Study 1A,50,1,0,0,1
1,Study 1A,50,2,0,0,1
1,Study 1A,50,3,0,0,0
1,Study 1A,50,4,0,0,0
1,Study 1A,51,1,1,0,1
1,Study 1A,51,2,1,0,1
1,Study 1A,51,3,1,0,1
1,Study 1A,51,4,1,0,1
1,Study 1A,52,1,0,1,1
1,Study 1A,52,2,1,1,1
1,Study 1A,52,3,1,1,1
1,Study 1A,52,4,0,1,0
1,Study 1A,53,1,1,1,1
1,Study 1A,53,2,0,1,0
1,Study 1A,53,3,0,1,0
1,Study 1A,53,4,1,1,1
1,Study 1A,54,1,1,0,1
1,Study 1A,54,2,1,0,1
1,Study 1A,54,3,1,0,1
1,Study 1A,54,4,0,0,0
1,Study 1A,55,1,0,0,1
1,Study 1A,55,2,0,0,0
1,Study 1A,55,3,0,0,0
1,Study 1A,55,4,1,0,1
1,Study 1A,56,1,1,1,1
1,Study 1A,56,2,1,1,1
1,Study 1A,56,3,0,1,0
1,Study 1A,56,4,0,1,0
1,Study 1A,57,1,0,0,0
1,Study 1A,57,2,0,0,0
1,Study 1A,57,3,1,0,1
1,Study 1A,57,4,1,0,1
1,Study 1A,58,1,0,1,1
1,Study 1A,58,2,0,1,1
1,Study 1A,58,3,1,1,1
1,Study 1A,58,4,1,1,0
1,Study 1A,59,1,1,0,1
1,Study 1A,59,2,1,0,1
1,Study 1A,59,3,0,0,1
1,Study 1A,59,4,0,0,0
1,Study 1A,60,1,1,0,0
1,Study 1A,60,2,0,0,0
1,Study 1A,60,3,1,0,1
1,Study 1A,60,4,1,0,1
1,Study 1A,61,1,1,1,1
1,Study 1A,61,2,1,1,1
1,Study 1A,61,3,0,1,
1,Study 1A,61,4,1,1,1
1,Study 1A,62,1,0,1,1
1,Study 1A,62,2,1,1,1
1,Study 1A,62,3,0,1,0
1,Study 1A,62,4,1,1,1
1,Study 1A,63,1,0,1,1
1,Study 1A,63,2,0,1,1
1,Study 1A,63,3,1,1,1
1,Study 1A,63,4,0,1,0
1,Study 1A,64,1,1,0,1
1,Study 1A,64,2,0,0,1
1,Study 1A,64,3,1,0,1
1,Study 1A,64,4,0,0,1
1,Study 1A,65,1,1,0,1
1,Study 1A,65,2,0,0,1
1,Study 1A,65,3,1,0,1
1,Study 1A,65,4,0,0,0
1,Study 1A,66,1,0,1,1
1,Study 1A,66,2,1,1,1
1,Study 1A,66,3,0,1,1
1,Study 1A,66,4,1,1,1
1,Study 1A,67,1,1,0,1
1,Study 1A,67,2,1,0,1
1,Study 1A,67,3,1,0,0
1,Study 1A,67,4,0,0,0
1,Study 1A,68,1,0,1,0
1,Study 1A,68,2,0,1,0
1,Study 1A,68,3,0,1,0
1,Study 1A,68,4,1,1,1
1,Study 1A,69,1,0,1,0
1,Study 1A,69,2,0,1,
1,Study 1A,69,3,0,1,0
1,Study 1A,69,4,1,1,
1,Study 1A,70,1,1,0,1
1,Study 1A,70,2,1,0,1
1,Study 1A,70,3,1,0,1
1,Study 1A,70,4,0,0,1
1,Study 1A,71,1,1,0,1
1,Study 1A,71,2,0,0,1
1,Study 1A,71,3,1,0,1
1,Study 1A,71,4,0,0,1
1,Study 1A,72,1,0,1,0
1,Study 1A,72,2,1,1,1
1,Study 1A,72,3,0,1,1
1,Study 1A,72,4,1,1,0
1,Study 1A,73,1,1,0,1
1,Study 1A,73,2,0,0,1
1,Study 1A,73,3,1,0,1
1,Study 1A,73,4,1,0,1
1,Study 1A,74,1,0,1,0
1,Study 1A,74,2,1,1,1
1,Study 1A,74,3,0,1,0
1,Study 1A,74,4,0,1,0
1,Study 1A,75,1,0,0,
1,Study 1A,75,2,0,0,0
1,Study 1A,75,3,1,0,1
1,Study 1A,75,4,0,0,
1,Study 1A,76,1,1,0,1
1,Study 1A,76,2,1,0,1
1,Study 1A,76,3,0,0,0
1,Study 1A,76,4,1,0,
1,Study 1A,77,1,1,1,1
1,Study 1A,77,2,1,1,1
1,Study 1A,77,3,0,1,0
1,Study 1A,77,4,1,1,1
1,Study 1A,78,1,1,1,0
1,Study 1A,78,2,0,1,1
1,Study 1A,78,3,0,1,0
1,Study 1A,78,4,1,1,0
1,Study 1A,79,1,0,0,
1,Study 1A,79,2,1,0,1
1,Study 1A,79,3,1,0,1
1,Study 1A,79,4,0,0,0
1,Study 1A,80,1,0,1,0
1,Study 1A,80,2,0,1,1
1,Study 1A,80,3,1,1,1
1,Study 1A,80,4,0,1,0
1,Study 1A,81,1,0,1,
1,Study 1A,81,2,0,1,0
1,Study 1A,81,3,1,1,1
1,Study 1A,81,4,0,1,1
1,Study 1A,82,1,1,0,1
1,Study 1A,82,2,1,0,1
1,Study 1A,82,3,0,0,0
1,Study 1A,82,4,1,0,1
1,Study 1A,83,1,0,0,0
1,Study 1A,83,2,0,0,1
1,Study 1A,83,3,1,0,1
1,Study 1A,83,4,0,0,0
1,Study 1A,84,1,1,1,0
1,Study 1A,84,2,1,1,0
1,Study 1A,84,3,0,1,0
1,Study 1A,84,4,1,1,1
1,Study 1A,85,1,1,0,1
1,Study 1A,85,2,0,0,1
1,Study 1A,85,3,0,0,0
1,Study 1A,85,4,0,0,1
1,Study 1A,86,1,0,0,1
1,Study 1A,86,2,1,0,1
1,Study 1A,86,3,1,0,0
1,Study 1A,86,4,1,0,1
1,Study 1A,87,1,0,1,0
1,Study 1A,87,2,1,1,1
1,Study 1A,87,3,1,1,1
1,Study 1A,87,4,1,1,0
1,Study 1A,88,1,1,1,0
1,Study 1A,88,2,0,1,0
1,Study 1A,88,3,0,1,1
1,Study 1A,88,4,1,1,0
1,Study 1A,89,1,1,0,1
1,Study 1A,89,2,1,0,0
1,Study 1A,89,3,0,0,0
1,Study 1A,89,4,0,0,0
1,Study 1A,90,1,0,1,0
1,Study 1A,90,2,0,1,0
1,Study 1A,90,3,1,1,0
1,Study 1A,90,4,0,1,0
1,Study 1A,91,1,1,0,1
1,Study 1A,91,2,0,0,1
1,Study 1A,91,3,0,0,0
1,Study 1A,91,4,1,0,0
1,Study 1A,92,1,0,0,1
1,Study 1A,92,2,1,0,1
1,Study 1A,92,3,1,0,1
1,Study 1A,92,4,0,0,1
1,Study 1A,93,1,1,1,1
1,Study 1A,93,2,0,1,1
1,Study 1A,93,3,1,1,1
1,Study 1A,93,4,1,1,0
1,Study 1A,94,1,0,0,0
1,Study 1A,94,2,0,0,0
1,Study 1A,94,3,1,0,1
1,Study 1A,94,4,1,0,1
1,Study 1A,95,1,1,1,1
1,Study 1A,95,2,1,1,1
1,Study 1A,95,3,0,1,0
1,Study 1A,95,4,0,1,0
1,Study 1A,96,1,1,0,1
1,Study 1A,96,2,0,0,1
1,Study 1A,96,3,1,0,1
1,Study 1A,96,4,0,0,0
1,Study 1A,97,1,0,1,0
1,Study 1A,97,2,1,1,0
1,Study 1A,97,3,0,1,1
1,Study 1A,97,4,1,1,1
1,Study 1A,98,1,1,0,1
1,Study 1A,98,2,0,0,0
1,Study 1A,98,3,1,0,1
1,Study 1A,98,4,1,0,1
1,Study 1A,99,1,0,1,1
1,Study 1A,99,2,1,1,1
1,Study 1A,99,3,0,1,0
1,Study 1A,99,4,0,1,0
1,Study 1A,100,1,0,0,1
1,Study 1A,100,2,0,0,1
1,Study 1A,100,3,1,0,1
1,Study 1A,100,4,1,0,1
1,Study 1A,101,1,1,0,1
1,Study 1A,101,2,1,0,1
1,Study 1A,101,3,0,0,1
1,Study 1A,101,4,0,0,0
1,Study 1A,102,1,0,0,1
1,Study 1A,102,2,0,0,1
1,Study 1A,102,3,0,0,0
1,Study 1A,102,4,1,0,1
1,Study 1A,103,1,1,1,1
1,Study 1A,103,2,0,1,0
1,Study 1A,103,3,1,1,1
1,Study 1A,103,4,1,1,0
1,Study 1A,104,1,0,0,1
1,Study 1A,104,2,1,0,0
1,Study 1A,104,3,0,0,
1,Study 1A,104,4,0,0,0
1,Study 1A,105,1,1,1,0
1,Study 1A,105,2,0,1,1
1,Study 1A,105,3,1,1,1
1,Study 1A,105,4,1,1,1
1,Study 1A,106,1,1,1,0
1,Study 1A,106,2,0,1,1
1,Study 1A,106,3,0,1,0
1,Study 1A,106,4,1,1,0
1,Study 1A,107,1,0,0,1
1,Study 1A,107,2,1,0,1
1,Study 1A,107,3,1,0,1
1,Study 1A,107,4,0,0,0
1,Study 1A,108,1,0,0,1
1,Study 1A,108,2,1,0,0
1,Study 1A,108,3,0,0,0
1,Study 1A,108,4,0,0,1
1,Study 1A,109,1,1,1,1
1,Study 1A,109,2,0,1,0
1,Study 1A,109,3,1,1,1
1,Study 1A,109,4,1,1,1
1,Study 1A,110,1,0,0,1
1,Study 1A,110,2,1,0,1
1,Study 1A,110,3,0,0,0
1,Study 1A,110,4,1,0,1
1,Study 1A,111,1,1,1,1
1,Study 1A,111,2,0,1,0
1,Study 1A,111,3,1,1,1
1,Study 1A,111,4,0,1,1
1,Study 1A,112,1,1,0,1
1,Study 1A,112,2,0,0,0
1,Study 1A,112,3,1,0,1
1,Study 1A,112,4,0,0,0
1,Study 1A,113,1,0,1,1
1,Study 1A,113,2,1,1,1
1,Study 1A,113,3,0,1,0
1,Study 1A,113,4,0,1,0
1,Study 1A,114,1,1,1,1
1,Study 1A,114,2,1,1,0
1,Study 1A,114,3,1,1,1
1,Study 1A,114,4,1,1,1
1,Study 1A,115,1,0,0,0
1,Study 1A,115,2,1,0,0
1,Study 1A,115,3,0,0,0
1,Study 1A,115,4,0,0,0
1,Study 1A,116,1,1,0,1
1,Study 1A,116,2,0,0,0
1,Study 1A,116,3,1,0,0
1,Study 1A,116,4,1,0,1
1,Study 1A,117,1,0,1,1
1,Study 1A,117,2,1,1,1
1,Study 1A,117,3,0,1,1
1,Study 1A,117,4,0,1,1
1,Study 1A,118,1,1,0,1
1,Study 1A,118,2,0,0,0
1,Study 1A,118,3,1,0,1
1,Study 1A,118,4,1,0,1
1,Study 1A,119,1,0,1,
1,Study 1A,119,2,0,1,
1,Study 1A,119,3,0,1,0
1,Study 1A,119,4,0,1,0
1,Study 1A,120,1,1,1,1
1,Study 1A,120,2,1,1,1
1,Study 1A,120,3,1,1,1
1,Study 1A,120,4,1,1,1
1,Study 1A,121,1,1,0,1
1,Study 1A,121,2,0,0,1
1,Study 1A,121,3,0,0,1
1,Study 1A,121,4,0,0,1
1,Study 1A,122,1,0,1,1
1,Study 1A,122,2,1,1,0
1,Study 1A,122,3,1,1,1
1,Study 1A,122,4,1,1,1
1,Study 1A,123,1,0,0,1
1,Study 1A,123,2,1,0,1
1,Study 1A,123,3,0,0,1
1,Study 1A,123,4,1,0,0
1,Study 1A,124,1,1,0,1
1,Study 1A,124,2,0,0,1
1,Study 1A,124,3,1,0,1
1,Study 1A,124,4,0,0,0
1,Study 1A,125,1,1,1,1
1,Study 1A,125,2,0,1,1
1,Study 1A,125,3,1,1,1
1,Study 1A,125,4,0,1,0
1,Study 1A,126,1,0,1,0
1,Study 1A,126,2,1,1,1
1,Study 1A,126,3,0,1,
1,Study 1A,126,4,1,1,1
1,Study 1A,127,1,1,0,1
1,Study 1A,127,2,1,0,1
1,Study 1A,127,3,0,0,0
1,Study 1A,127,4,0,0,0
1,Study 1A,128,1,0,1,1
1,Study 1A,128,2,0,1,1
1,Study 1A,128,3,1,1,1
1,Study 1A,128,4,1,1,0
1,Study 1A,129,1,1,0,0
1,Study 1A,129,2,0,0,0
1,Study 1A,129,3,0,0,1
1,Study 1A,129,4,1,0,0
1,Study 1A,130,1,0,1,0
1,Study 1A,130,2,1,1,1
1,Study 1A,130,3,1,1,1
1,Study 1A,130,4,0,1,0
1,Study 1A,131,1,1,1,1
1,Study 1A,131,2,0,1,0
1,Study 1A,131,3,1,1,1
1,Study 1A,131,4,0,1,0
1,Study 1A,132,1,0,0,1
1,Study 1A,132,2,1,0,1
1,Study 1A,132,3,0,0,0
1,Study 1A,132,4,1,0,0
1,Study 1A,133,1,1,1,1
1,Study 1A,133,2,0,1,0
1,Study 1A,133,3,1,1,1
1,Study 1A,133,4,0,1,0
1,Study 1A,134,1,0,0,0
1,Study 1A,134,2,1,0,1
1,Study 1A,134,3,0,0,0
1,Study 1A,134,4,1,0,1
