startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,distributionchannel,userlanguage,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q16,q17,q18,participantid,assignmentid,projectid,cond,partition
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Distribution Channel","User Language","First, specify the range of money you would like to transfer:","First, specify the range of money you would like to transfer:","You indicated a transfer amount in the range of $0.00 to $0.49.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $0.50 to $0.99.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $1.00 to $1.49.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $1.50 to $1.99.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $2.00 to $10.00.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $0.00 to $1.99.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $2.00 to $2.99.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $3.00 to $3.99.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $4.00 to $4.99.



Please specify the exact amount you want to transfer to Player B:","You indicated a transfer amount in the range of $5.00 to $10.00.



Please specify the exact amount you want to transfer to Player B:","Please indicate your sex:","Please indicate your age:","Any questions, comments, or suggestions for this study?","participantId","assignmentId","projectId","cond","partition"
"9/11/24 10:05","9/11/24 10:05","0","799","100","27","1","9/11/24 10:05","R_3KNalDFSRZJuaEV","","","","","anonymous","EN","","5","","","","","","","","","","5","2","36","","800BD28C6B45471DA4E1DD3ACFF52291","185ab7b4-d198-435c-9163-3c93acb504b2","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:05","0","692","100","39","1","9/11/24 10:05","R_5LYcprDZ8F1WNKQ","","","","","anonymous","EN","3","","","","1.05","","","","","","","","2","48","","ADFD4CC871474935B43C5771D39F5CF6","4237de70-899d-4dae-874d-27289716f673","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:05","0","707","100","41","1","9/11/24 10:05","R_6VuVY95NLqUksKt","","","","","anonymous","EN","3","","","","1","","","","","","","","2","51","","C25B6015815844C5991C9197842C1ABD","f05150b2-311c-42bd-b850-7c07a0a18e39","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:05","0","354","100","34","1","9/11/24 10:05","R_6b0IROoowNBSFlm","","","","","anonymous","EN","","5","","","","","","","","","","5","2","34","","0CF3DCDB98DC44B49C405E0A04B920BD","d5ae0d6b-27a6-41b8-9543-4709391b7b85","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:04","9/11/24 10:05","0","436","100","46","1","9/11/24 10:05","R_3OlTQ5HZAPSJ08v","","","","","anonymous","EN","","1","","","","","","1.99","","","","","1","38","","32F40C2EB4FB45CAA6FCE84D01065F1C","5fc4acaf-0dbf-4fc4-9ad6-a3bf4ebbcd53","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:05","0","641","100","35","1","9/11/24 10:05","R_7UYM3LcI2lwfSLX","","","","","anonymous","EN","","1","","","","","","0","","","","","1","25","","8DFA07C880FC4350BCAE8401C5098747","2200e300-3dd5-41c4-8e17-46e3a7027887","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:05","0","83","100","27","1","9/11/24 10:05","R_6proRUz6eEc12OK","","","","","anonymous","EN","","3","","","","","","","","3.5","","","1","36","","3F5B2C40D20A42489B22829243F18CD5","2f710ace-e70f-4cba-931b-a07fecd2ea2c","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:05","0","638","100","40","1","9/11/24 10:05","R_5eLQI5mlEUv3iRB","","","","","anonymous","EN","","4","","","","","","","","","4","","2","28","","F6586134F687435A9064E1C721EBC99F","1a88d944-b0d3-41c0-97a3-fdf8ac6a2c85","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:05","0","260","100","37","1","9/11/24 10:05","R_3UWrluyo3CGRVbB","","","","","anonymous","EN","3","","","","1","","","","","","","","1","34","","C1ED48FEDF614F73BB0D2E36DEBE374A","d79ae5f9-e20c-41d1-b237-1b2941799320","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:05","0","472","100","46","1","9/11/24 10:05","R_11tTarIgk11cVxF","","","","","anonymous","EN","5","","","","","","10","","","","","","2","24","","F2B578EB6E8A42F492A10DE747BFC18A","5c298560-c7e3-4e14-8e6b-248aec861f8e","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:05","0","517","100","38","1","9/11/24 10:05","R_3jxpxN4Q3MewJkk","","","","","anonymous","EN","1","","0","","","","","","","","","","1","28","no","AF329573F9A64CC0BF4371D478335CFF","d0604833-023d-4a79-b3d9-850a36130ef2","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:05","0","561","100","42","1","9/11/24 10:05","R_1dykreQ0zFJ5XAX","","","","","anonymous","EN","","1","","","","","","1","","","","","2","46","","6A114C41A97F4884923B907488FFB200","91ef692a-072d-4571-a4d9-513791ebf099","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:05","0","573","100","41","1","9/11/24 10:05","R_51AVx9Y7zQQHl4P","","","","","anonymous","EN","5","","","","","","5","","","","","","2","30","None","9D43D33888D6450195CDE38EBAFBC3E9","7adac2d6-b987-46be-b92e-918dbc8cfbb4","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:05","0","284","100","38","1","9/11/24 10:05","R_5b2FAZBzBCAJ0gs","","","","","anonymous","EN","","5","","","","","","","","","","5","1","34","","64A7FCFA768F430782744E8B3FB4F890","f00f396c-264a-48e8-a7d3-413addd34773","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:05","0","314","100","43","1","9/11/24 10:05","R_6zUcmL6N49KYszD","","","","","anonymous","EN","4","","","","","1.5","","","","","","","1","28","","B171FD25C1EF45E2A1636B21576F5E59","a68e4563-98f3-47fb-905e-f9ff5783c31d","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:05","0","553","100","15","1","9/11/24 10:05","R_3B3Y2JZpy62do8W","","","","","anonymous","EN","","1","","","","","","0","","","","","1","28","","DE590B4A0B2E416E812D5EE23852D334","b9ee35d5-c89f-4f9b-bda3-abe373f08710","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:05","0","560","100","44","1","9/11/24 10:05","R_7sgg6f7leAmMqW0","","","","","anonymous","EN","5","","","","","","3","","","","","","2","35","no","C16E8A14A1CE40B08F5741EEA13FC641","8e5287c6-aabe-4791-b726-44bb25f68af4","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
