v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,groupedcategory,household,q1,q2_1,q2_2,q2_3,q2_4,q3,q4,q5,q6,q7,q8,q9,q10,q11_1,q12
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,grouped category,household,"According to our servers, you are trying to complete this survey on a mobile device. This survey...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Consent Form This research study is designed to examine how people make judgments and decisions....,Imagine you must complete one of the following indoor or outdoor household chores. All chores are...,Imagine you must complete one of the following indoor or outdoor household chores. All chores are...,Imagine you must complete one of the following indoor or outdoor household chores. All chores are...,Imagine you must complete one of the following indoor or outdoor household chores. All chores are...,Which household chore would you choose? (please listÂ oneÂ chore below),Very good. Some final questions before you complete the survey:,Please indicate your gender: ,How old are you?-years old,"Any questions, comments, or suggestions for this study?"
R_2sSmrIhLCDpKzl2,Default Response Set,Anonymous,,,183,0,2018-05-01 10:45:38,2018-05-01 10:45:56,1,bottom,packed,,,,,,1,,1,,,an indoor chore,1,2,24,
R_CawCegt8k007Ig9,Default Response Set,Anonymous,,,111,0,2018-05-01 10:45:58,2018-05-01 10:46:20,1,bottom,packed,,,,,,1,,1,,,MOWING A LAWN,1,1,35,
R_DH2IYHPJMYGwPAZ,Default Response Set,Anonymous,,,84,0,2018-05-01 10:46:04,2018-05-01 10:46:24,1,top,packed,,,,,,1,,,,1,folding laundry,1,2,26,
R_33D8n7dYVrTTP1O,Default Response Set,Anonymous,,,162,0,2018-05-01 10:46:08,2018-05-01 10:46:27,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,1,27,
R_3QKpXSJvEOM8DmS,Default Response Set,Anonymous,,,32,0,2018-05-01 10:46:11,2018-05-01 10:46:30,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,1,29,
R_1kZeElOW0A6Y63q,Default Response Set,Anonymous,,,27,0,2018-05-01 10:45:54,2018-05-01 10:46:34,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,1,32,no
R_1q8KMWx0j2kh8lQ,Default Response Set,Anonymous,,,74,0,2018-05-01 10:46:14,2018-05-01 10:46:34,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,1,28,
R_31cmietm2dAYyJl,Default Response Set,Anonymous,,,92,0,2018-05-01 10:45:54,2018-05-01 10:46:36,1,bottom,packed,,,,,,1,,1,,,an indoor chore,1,1,33,
R_3dGO3mDeJD3nZY4,Default Response Set,Anonymous,,,81,0,2018-05-01 10:46:14,2018-05-01 10:46:36,1,bottom,unpacked,,,,,,1,1,,,,Vacuuming,1,2,26,
