v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,groupedcategory,order,europe,westcoast,cookies,sportingevent,q55,q59,q2,q4,q5,q6,q3,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q60,q28,q28_1,q28_2,q28_3,q28_4,q29,q29_1,q29_2,q29_3,q29_4,q30,q31_1,q31_2,q31_3,q31_4,q31,q11_1,q11_2,q11_3,q11_4,q37,q34_1,q34_2,q34_3,q34_4,q38,q35_1,q35_2,q35_3,q35_4,q39,q36_1,q36_2,q36_3,q36_4,q40,q37_1,q37_2,q37_3,q37_4,q46,q43_1,q43_2,q43_3,q43_4,q47,q44_1,q44_2,q44_3,q44_4,q48,q45_1,q45_2,q45_3,q45_4,q49,q46_1,q46_2,q46_3,q46_4,v100,q50_1,q50_2,q50_3,q50_4,q56,q51_1,q51_2,q51_3,q51_4,q57,q52_1,q52_2,q52_3,q52_4,q58,q53_1,q53_2,q53_3,q53_4,q61,v121,q59_1,q63,filter
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,grouped category,order,europe,west coast,cookies,sporting event,Individual Decision Making Study / This consent form asks you to take part in a research study at UCLA...,"For this part of the study, you will make a series of choices. There are no right or wrong answers,...",Imagine you win an all-expense paid trip to one country of your choice. Which of the following count...,Imagine you win an all-expense paid trip to one country of your choice. Which of the following count...,Imagine you win an all-expense paid trip to one country of your choice. Which of the following count...,Imagine you win an all-expense paid trip to one country of your choice. Which of the following count...,Which country would you choose?æ (Please list one country name below),Imagine you win two tickets to one entertainment event of your choice. Which of the following events...,Imagine you win two tickets to one entertainment event of your choice. Which of the following events...,Imagine you win two tickets to one entertainment event of your choice. Which of the following events...,Imagine you win two tickets to one entertainment event of your choice. Which of the following events...,Which event would you attend?æ (Please list one below) /  æ,"Imagine you can visit one of the following cities for a weekend, with all expenses covered by a thir...","Imagine you can visit one of the following cities for a weekend, with all expenses covered by a thir...","Imagine you can visit one of the following cities for a weekend, with all expenses covered by a thir...","Imagine you can visit one of the following cities for a weekend, with all expenses covered by a thir...",Which city would you visit?æ (Please list one city below) /  /   /  æ,"Imagine your office is hosting an afternoon social, and everyone is allowed to select a single desse...","Imagine your office is hosting an afternoon social, and everyone is allowed to select a single desse...","Imagine your office is hosting an afternoon social, and everyone is allowed to select a single desse...","Imagine your office is hosting an afternoon social, and everyone is allowed to select a single desse...",Which dessert item would you choose?æ (Please list one below) /  /   /  æ,"For this part of the study, you will be presented with a series of choices and will estimate the lik...",Other respondents to this survey will be presented with the following: /  æ /  /  Imagine you win an all-e...,What percentage of other respondents of this survey would you estimate answer each of the following?...-France,What percentage of other respondents of this survey would you estimate answer each of the following?...-Germany,What percentage of other respondents of this survey would you estimate answer each of the following?...-Italy,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Asia (either China, Japan, or Vietnam)",Other respondents to this survey will be presented with the following: /  /  æ /  /  Imagine you win an all-...,What percentage of other respondents of this survey would you estimate answer each of the following?...-China,What percentage of other respondents of this survey would you estimate answer each of the following?...-Japan,What percentage of other respondents of this survey would you estimate answer each of the following?...-Vietnam,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Europe (either France, Germany, or Italy)",Other respondents to this survey will be presented with the following: /  æ /  /  Imagine you win an all-e...,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Asia (either China, Japan, or Vietnam)",What percentage of other respondents of this survey would you estimate answer each of the following?...-France,What percentage of other respondents of this survey would you estimate answer each of the following?...-Germany,What percentage of other respondents of this survey would you estimate answer each of the following?...-Italy,Other respondents to this survey will be presented with the following: /  æ /  /  Imagine you win an all-e...,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Europe (either France, Germany, or Italy)",What percentage of other respondents of this survey would you estimate answer each of the following?...-China,What percentage of other respondents of this survey would you estimate answer each of the following?...-Japan,What percentage of other respondents of this survey would you estimate answer each of the following?...-Vietnam,Other respondents to this survey will be presented with the following: /  æ /  /  Imagine you win two tick...,What percentage of other respondents of this survey would you estimate answer each of the following?...-NFL game,What percentage of other respondents of this survey would you estimate answer each of the following?...-NBA game,What percentage of other respondents of this survey would you estimate answer each of the following?...-MLB game,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Cultural event (either Opera, Theater, or Musical)",Other respondents to this survey will be presented with the following: /  æ /  /  Imagine you win two tick...,What percentage of other respondents of this survey would you estimate answer each of the following?...-Opera,What percentage of other respondents of this survey would you estimate answer each of the following?...-Theater,What percentage of other respondents of this survey would you estimate answer each of the following?...-Musical,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Sporting event (either NFL, NBA, or MLB game)",Other respondents to this survey will be presented with the following: /  /   /  Imagine you win two ticke...,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Cultural event (either Opera, Theater, or Musical)",What percentage of other respondents of this survey would you estimate answer each of the following?...-NFL game,What percentage of other respondents of this survey would you estimate answer each of the following?...-NBA game,What percentage of other respondents of this survey would you estimate answer each of the following?...-MLB game,Other respondents to this survey will be presented with the following: /  /   /  Imagine you win two ticke...,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Sporting event (either NFL, NBA, or MLB game)",What percentage of other respondents of this survey would you estimate answer each of the following?...-Opera,What percentage of other respondents of this survey would you estimate answer each of the following?...-Theater,What percentage of other respondents of this survey would you estimate answer each of the following?...-Musical,Other respondents to this survey will be presented with the following: /  /  æ /  /  Imagine you can visit o...,What percentage of other respondents of this survey would you estimate answer each of the following?...-San Francisco,What percentage of other respondents of this survey would you estimate answer each of the following?...-Portland,What percentage of other respondents of this survey would you estimate answer each of the following?...-Seattle,"What percentage of other respondents of this survey would you estimate answer each of the following?...-East Coast city (either Boston, Philadelphia, or Washington D.C.)",Other respondents to this survey will be presented with the following: /  /  æ /  /  Imagine you can visit o...,What percentage of other respondents of this survey would you estimate answer each of the following?...-Boston,What percentage of other respondents of this survey would you estimate answer each of the following?...-Philadelphia,What percentage of other respondents of this survey would you estimate answer each of the following?...-Washington D.C.,"What percentage of other respondents of this survey would you estimate answer each of the following?...-West Coast city (either San Francisco, Portland, or Seattle)",Other respondents to this survey will be presented with the following: /  /  æ /  /  Imagine you can visit o...,"What percentage of other respondents of this survey would you estimate answer each of the following?...-East Coast city (either Boston, Philadelphia, or Washington D.C.)",What percentage of other respondents of this survey would you estimate answer each of the following?...-San Francisco,What percentage of other respondents of this survey would you estimate answer each of the following?...-Portland,What percentage of other respondents of this survey would you estimate answer each of the following?...-Seattle,Other respondents to this survey will be presented with the following: /  /  æ /  /  Imagine you can visit o...,"What percentage of other respondents of this survey would you estimate answer each of the following?...-West Coast city (either San Francisco, Portland, or Seattle)",What percentage of other respondents of this survey would you estimate answer each of the following?...-Boston,What percentage of other respondents of this survey would you estimate answer each of the following?...-Philadelphia,What percentage of other respondents of this survey would you estimate answer each of the following?...-Washington D.C.,Other respondents to this survey will be presented with the following: /  /  æ /  /  Imagine your office is...,What percentage of other respondents of this survey would you estimate answer each of the following?...-Chocolate Chip cookie,What percentage of other respondents of this survey would you estimate answer each of the following?...-Peanut Butter cookie,What percentage of other respondents of this survey would you estimate answer each of the following?...-Oatmeal Raisin cookie,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Ice cream cone (either Chocolate, Vanilla, or Strawberry)",Other respondents to this survey will be presented with the following: /  æ /  /  Imagine your office is h...,What percentage of other respondents of this survey would you estimate answer each of the following?...-Chocolate ice cream cone,What percentage of other respondents of this survey would you estimate answer each of the following?...-Vanilla ice cream cone,What percentage of other respondents of this survey would you estimate answer each of the following?...-Strawberry ice cream cone,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Cookie (either Chocolate Chip, Peanut Butter, or Oatmeal Raisin)",Other respondents to this survey will be presented with the following: /  æ /  /  Imagine your office is h...,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Ice cream cone (either Chocolate, Vanilla, or Strawberry)",What percentage of other respondents of this survey would you estimate answer each of the following?...-Chocolate Chip cookie,What percentage of other respondents of this survey would you estimate answer each of the following?...-Peanut Butter cookie,What percentage of other respondents of this survey would you estimate answer each of the following?...-Oatmeal Raisin cookie,Other respondents to this survey will be presented with the following: /  æ /  /  Imagine your office is h...,"What percentage of other respondents of this survey would you estimate answer each of the following?...-Cookie (either Chocolate Chip, Peanut Butter, or Oatmeal Raisin)",What percentage of other respondents of this survey would you estimate answer each of the following?...-Chocolate ice cream cone,What percentage of other respondents of this survey would you estimate answer each of the following?...-Vanilla ice cream cone,What percentage of other respondents of this survey would you estimate answer each of the following?...-Strawberry ice cream cone,Very ægood. Some final questions before you complete the survey:,Please indicate your sex: /  /  æ,How old are you?-years old,"Any questions, comments, or suggestions for this study?",
R_ezoh4zaFXjWc2EZ,Default Response Set,Anonymous,,,84,0,8/5/13 8:58,8/5/13 9:02,1,top,choice first,packed,packed,unpacked,packed,1,1,,,,1,China,,,,1,Musical,,,,1,Boston,,,1,,Chocolate Chip cookie,1,,,,,,,,,,,,,,,,1,20,40,20,20,,,,,,,,,,,,,,,,1,20,10,10,60,,,,,,,,,,,,,,,,1,20,50,20,10,,,,,,,,,,,1,10,70,10,10,,,,,,1,1,39,Fun survey. Thank you,
R_cMHLF2rFqW4Ngup,Default Response Set,Anonymous,,,134,0,8/5/13 8:57,8/5/13 9:02,1,bottom,inference first,unpacked,unpacked,packed,unpacked,1,1,1,,,,Italy,1,,,,Musical,1,,,,Philadelphia,,1,,,Strawberry,1,1,20,20,20,40,,,,,,,,,,,,,,,,1,30,20,20,30,,,,,,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,,,,,,,,,,,1,20,20,30,30,,,,,,,,,,,1,1,20,,
R_2ic8uUpXvKnG1Pn,Default Response Set,Anonymous,,,9,0,8/5/13 8:59,8/5/13 9:03,1,top,choice first,packed,packed,unpacked,unpacked,1,1,,,,1,China,,,1,,Musical,,,,1,San Francisco,,,1,,Chocolate Chip cookie,1,,,,,,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,1,30,20,10,40,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,1,10,40,30,20,,,,,,1,2,18,,
R_bDdw0f7x9uAwnmB,Default Response Set,Anonymous,,,31,0,8/5/13 8:58,8/5/13 9:04,1,bottom,inference first,unpacked,unpacked,packed,packed,1,1,1,,,,Italy,,1,,,NFL Game,1,,,,San Francisco,,1,,,Chocolate ice cream cone,1,1,20,30,30,20,,,,,,,,,,,,,,,,,,,,,1,5,10,30,55,,,,,,,,,,,1,30,30,30,10,,,,,,,,,,,,,,,,,,,,,1,50,20,10,20,,,,,,,,,,,1,1,28,,
R_429IDxircpMjUyN,Default Response Set,Anonymous,,,154,0,8/5/13 9:00,8/5/13 9:04,1,bottom,choice first,unpacked,packed,packed,packed,1,1,1,,,,Japan,,1,,,Theater,,1,,,Boston,,1,,,Vanilla Ice cream cone,1,1,25,25,25,25,,,,,,,,,,,,,,,,,,,,,1,5,10,5,80,,,,,,,,,,,,,,,,1,10,5,25,60,,,,,,,,,,,,,,,,1,30,30,10,30,,,,,,,,,,,1,1,24,,
R_ehUsY6Xby73k49D,Default Response Set,Anonymous,,,108,0,8/5/13 9:01,8/5/13 9:04,1,top,inference first,packed,packed,unpacked,unpacked,1,1,,,,1,France,,,1,,nba game,,,,1,washington,,,1,,vanilla,1,,,,,,,,,,,,,,,,1,50,20,20,10,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,,,,,,1,45,20,15,20,,,,,,,,,,,1,40,30,20,10,,,,,,1,1,28,none,
R_6V8BUrsNyM9kzn7,Default Response Set,Anonymous,,,45,0,8/5/13 9:01,8/5/13 9:05,1,bottom,inference first,packed,unpacked,unpacked,packed,1,1,,1,,,Germany,,1,,,Musical,1,,,,Seattle,1,,,,Chocolate Chip cookie,1,,,,,,1,5,15,5,75,,,,,,,,,,,,,,,,1,5,5,10,80,,,,,,,,,,,1,30,20,20,30,,,,,,,,,,,,,,,,1,50,10,10,30,,,,,,,,,,,,,,,,1,1,22,none,
R_0cZxarAXhINPpoF,Default Response Set,Anonymous,,,37,0,8/5/13 9:01,8/5/13 9:05,1,bottom,choice first,unpacked,unpacked,packed,packed,1,1,1,,,,Italy,,1,,,Musical,1,,,,Boston,,1,,,Strawberry ice cream cone,1,1,10,10,60,20,,,,,,,,,,,,,,,,,,,,,1,0,10,60,30,,,,,,,,,,,1,70,5,5,20,,,,,,,,,,,,,,,,,,,,,1,30,10,30,30,,,,,,,,,,,1,2,21,Nice study!,
R_37NLfNsgq0Kd5VX,Default Response Set,Anonymous,,,127,0,8/5/13 9:03,8/5/13 9:07,1,top,choice first,packed,packed,packed,unpacked,1,1,,,,1,Italy,,,1,,Musical,,,,1,Boston,,,,1,Chocolate ice cream cone,1,,,,,,,,,,,,,,,,1,80,10,10,0,,,,,,,,,,,1,20,50,15,15,,,,,,,,,,,,,,,,,,,,,1,60,10,10,20,,,,,,,,,,,,,,,,1,10,30,30,30,1,2,39,,
