v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,estimation,europe,groupedcategory,westcoast,cookies,sportingevent,q55,q61,q63,q65,v21,q67_1,q67_2,q67_3,q67_4,q67,q83_1,q83_2,q8,q9,q10,q11,q12,q84_1,q84_2,q18,q19,q20,q21,q22,q85_1,q85_2,q13,q14,q15,q16,q17,q86_1,q86_2,q2,q4,q5,q6,q3,v55,q57,q59_1,v58,filter
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,estimation,europe,grouped category,west coast,cookies,sporting event,Individual Decision Making Study / This consent form asks you to take part in a research study at UCLA...,"Welcome,This study requires you to voice your opinion using the scales below. It is important that y...",I would prefer to live in a large city rather than a small city.,"I would prefer to live in a city with many cultural opportunities, even if the cost of living was hi...",Thank you for expressing interest to participate in this study. / Unfortunately it has been determined...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Very good. The study will now begin.For this part of the study, you will make a series of judgments...","Consider the two different types of entertainment options below. Presented with these options, what...-Sporting events (choice of attending either an NFL, NBA, or MLB game)","Consider the two different types of entertainment options below. Presented with these options, what...-Cultural events (choice of attending either the Opera, Theater, or a Musical)",Imagine you win two tickets to one entertainment event of your choice. Which of the following events...,Imagine you win two tickets to one entertainment event of your choice. Which of the following events...,Imagine you win two tickets to one entertainment event of your choice. Which of the following events...,Imagine you win two tickets to one entertainment event of your choice. Which of the following events...,Which event would you attend?Â  (Please list one below) /  Â ,"Consider the two different types of desert items below. Presented with these options, what proportio...-Cookie (choice of either Chocolate Chip, Peanut Butter, or Oatmeal Raisin)","Consider the two different types of desert items below. Presented with these options, what proportio...-Ice cream cone (choice of either Chocolate, Vanilla, or Strawberry)","Imagine your office is hosting an afternoon social, and everyone is allowed to select a single desse...","Imagine your office is hosting an afternoon social, and everyone is allowed to select a single desse...","Imagine your office is hosting an afternoon social, and everyone is allowed to select a single desse...","Imagine your office is hosting an afternoon social, and everyone is allowed to select a single desse...",Which dessert item would you choose?Â  (Please list one below) /  /   /  Â ,"Consider the two different types of weekend destinations below. Presented with these options, what p...-West Coast city (choice of either San Francisco, Portland, or Seattle)","Consider the two different types of weekend destinations below. Presented with these options, what p...-East Coast city (choice of either Boston, Philadelphia, or Washington D.C.)","Imagine you can visit one of the following cities for a weekend, with all expenses covered by a thir...","Imagine you can visit one of the following cities for a weekend, with all expenses covered by a thir...","Imagine you can visit one of the following cities for a weekend, with all expenses covered by a thir...","Imagine you can visit one of the following cities for a weekend, with all expenses covered by a thir...",Which city would you visit?Â  (Please list one city below) /  /   /  Â ,"Consider the two different types of vacation destinations below. / Presented with these options, what proportion of people would / choose an all expenses paid trip to either a European country or an / As...-European country (choice of either France, Germany, or Italy)","Consider the two different types of vacation destinations below. / Presented with these options, what proportion of people would / choose an all expenses paid trip to either a European country or an / As...-Asian country (choice of either China, Japan, or Vietnam)",Imagine you win an all expenses paid trip to one country of your /  choice. Which of the following countries would you prefer to /  visit? /  Â  /  /  A. France /  B. Germany /  C. Italy /  D. Asian country (your c...,Imagine you win an all expenses paid trip to one country of your choice. Which of the following coun...,Imagine you win an all expenses paid trip to one country of your choice. Which of the following coun...,Imagine you win an all expenses paid trip to one country of your choice. Which of the following coun...,Which country would you choose?Â  (Please list one country name below),Very Â good. Some final questions before you complete the survey:,Please indicate your sex: /  /  Â ,How old are you?-years old,"Any questions, comments, or suggestions for this study?",
R_8eOVaLEI2Fc9Krb,Default Response Set,Anonymous,,,84,0,11/14/13 10:32,11/14/13 10:35,1,before,unpacked,bottom,packed,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,1,,,,nfl game,25,75,1,,,,chocolate chip cookie,50,50,,1,,,boston,75,25,1,,,,italy,1,2,35,,
R_6fBxp1G4QoTlqNn,Default Response Set,Anonymous,,,349,0,11/14/13 10:31,11/14/13 10:36,1,after,packed,top,unpacked,packed,packed,1,1,4,7,,,,,,1,60,40,,,,1,NFL game,50,50,,,,1,Oatmeal Raisin Cookie,65,35,,,1,,Seattle,60,40,,,,1,Italy,1,1,48,no comments,
R_3IZnnH50pokPjNj,Default Response Set,Anonymous,,,308,0,11/14/13 10:31,11/14/13 10:36,1,after,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,65,35,,,1,,NFL game,35,65,,,,1,Strawberry ice cream cone,40,60,,,1,,Seattle,65,35,,,1,,China,1,1,30,I think clicking than writing in your choice is better.  There was a lot of error due to the way it was set up.  You had to have the correct spelling or correct amount of letters to proceed.,
R_bNlJYy9Z6I7UuPz,Default Response Set,Anonymous,,,345,0,11/14/13 10:33,11/14/13 10:38,1,after,unpacked,top,unpacked,packed,packed,1,1,4,7,,,,,,1,60,40,,,,1,NBA,70,30,,,,1,Chocolate ice cream cone,40,60,,,1,,Boston,80,20,,,1,,France,1,1,32,no comments,
R_1ZlmvjJ6HCsrxA1,Default Response Set,Anonymous,,,180,0,11/14/13 10:39,11/14/13 10:42,1,after,unpacked,top,packed,packed,unpacked,1,1,4,7,,,,,,1,90,10,,,1,,NBA game,50,50,,,,1,Chocolate Chip cookie,60,40,,,,1,Washington D.C.,75,25,,,1,,France,1,2,34,none,
R_0dCFotbyzVZxiXH,Default Response Set,Anonymous,,,247,0,11/14/13 10:39,11/14/13 10:42,1,before,packed,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,,,1,,Theater,50,50,,,1,,Oatmeal Raisin cookie,60,40,,,1,,San Francisco,60,40,,,,1,France,1,1,35,I enjoyed the survey.,
R_3dvdDLoR1bynCAd,Default Response Set,Anonymous,,,153,0,11/14/13 10:39,11/14/13 10:43,1,before,packed,bottom,packed,packed,packed,1,1,4,7,,,,,,1,90,10,,1,,,Musical,80,20,,1,,,Chocolate Chip Cookie,80,20,,1,,,Seattle,70,30,,1,,,France,1,2,28,,
R_4UREks4gELGd0IB,Default Response Set,Anonymous,,,70,0,11/14/13 10:35,11/14/13 10:44,1,before,packed,top,unpacked,packed,packed,1,1,4,7,,,,,,1,0,100,,,,1,Musical,20,80,,,,1,Chocolate Chip,70,30,,,1,,San Francisco,90,10,,,,1,France,1,2,38,,
R_7U5Es1hJ1nRAdRb,Default Response Set,Anonymous,,,320,0,11/14/13 10:37,11/14/13 10:45,1,after,packed,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,musical,50,50,,1,,,chocolate chip,50,50,1,,,,Boston,80,20,,1,,,germany,1,1,28,No,
R_dmpur0UX8Jt5zJH,Default Response Set,Anonymous,,,134,0,11/14/13 10:44,11/14/13 10:47,1,before,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,0,100,,1,,,THEATER,50,50,1,,,,CHOCOLATE CHIP COOKIE,50,50,1,,,,SAN FRANCISCO,70,30,1,,,,FRANCE,1,2,34,,
R_9Fg6ajbVMl2COHz,Default Response Set,Anonymous,,,147,0,11/14/13 10:42,11/14/13 10:47,1,after,unpacked,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,80,20,,1,,,musical,35,65,,1,,,Chocolate ice cream cone,49,51,1,,,,san francisco,60,40,1,,,,germany,1,1,21,,
