startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,distributionchannel,userlanguage,q2_firstclick,q2_lastclick,q2_pagesubmit,q2_clickcount,q9,q14,q19,q24,q27_1,q27_2,q27_3,q27_4,q29_1,q29_2,q29_3,q29_4,q31_1,q31_2,q31_3,q31_4,q33_1,q33_2,q33_3,q33_4,q35_1,q35_2,q35_3,q35_4,q37_1,q37_2,q37_3,q37_4,q39_1,q39_2,q39_3,q39_4,q41_1,q41_2,q41_3,q41_4,q43_1,q43_2,q43_3,q43_4,q45_1,q45_2,q45_3,q45_4,q47_1,q47_2,q47_3,q47_4,q49_1,q49_2,q49_3,q49_4,q51_1,q51_2,q51_3,q51_4,q53_1,q53_2,q53_3,q53_4,q55_1,q55_2,q55_3,q55_4,q57_1,q57_2,q57_3,q57_4,q58_1,q58_2,q58_3,q58_4,q58_do,q59_1,q59_2,q59_3,q59_4,q59_do,q61,q62_1,q63,workerid,assignmentid,hitid,groupedcategory,order,europe,westcoast,cookies,sportingevent,fl_7_do,fl_35_do,fl_4_do,fl_20_do,fl_17_do,fl_13_do,fl_23_do,fl_29_do,fl_45_do,fl_40_do,fl_60_do
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which one country would you choose?,Which event would you attend?  (Please list one below),Which city would you visit?  (Please list one city below),Which dessert item would you choose?  (Please list one below),What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - France,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Germany,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Italy,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Asian country (your choice of either China, Japan, or Vietnam)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - China,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Japan,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Vietnam,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - European country (your choice of either France, Germany, or Italy)","What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Asian country (your choice of either China, Japan, or Vietnam)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - France,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Germany,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Italy,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - European country (your choice of either France, Germany, or Italy)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - China,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Japan,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Vietnam,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - NFL game,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - NBA game,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - MLB game,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Cultural event (your choice of either Opera, Theater, or Musical)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Opera,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Theater,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Musical,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Sporting event (your choice of either NFL, NBA, or MLB game)","What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Cultural event (your choice of either Opera, Theater, or Musical)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - NFL game,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - NBA game,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - MLB game,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Sporting event (your choice of either NFL, NBA, or MLB game)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Opera,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Theater,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Musical,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - San Francisco,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Portland,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Seattle,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - East Coast city (your choice of either Boston, Philadelphia, or Washington D.C.)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Boston,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Philadelphia,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Washington D.C.,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - West Coast city (your choice of either San Francisco, Portland, or Seattle)","What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - East Coast city (your choice of either Boston, Philadelphia, or Washington D.C.)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - San Francisco,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Portland,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Seattle,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - West Coast city (your choice of either San Francisco, Portland, or Seattle)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Boston,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Philadelphia,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Washington D.C.,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Chocolate Chip cookie,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Peanut Butter cookie,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Oatmeal Raisin cookie,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Ice cream cone (your choice of either Mint Chip, Vanilla, or Strawberry)",What percentage of other respondents of this survey would you estimate answer each of the following? 

(Please give numbers between 0 and 100 so that your numbers sum to 100%) - Mint Chip ice cream cone,What percentage of other respondents of this survey would you estimate answer each of the following? 

(Please give numbers between 0 and 100 so that your numbers sum to 100%) - Vanilla ice cream cone,What percentage of other respondents of this survey would you estimate answer each of the following? 

(Please give numbers between 0 and 100 so that your numbers sum to 100%) - Strawberry ice cream cone,"What percentage of other respondents of this survey would you estimate answer each of the following? 

(Please give numbers between 0 and 100 so that your numbers sum to 100%) - Cookie (your choice of either Chocolate Chip, Peanut Butter, or Oatmeal Raisin)","What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Ice cream cone (your choice of either Mint Chip, Vanilla, or Strawberry)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Chocolate Chip cookie,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Peanut Butter cookie,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Oatmeal Raisin cookie,"What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Cookie (your choice of either Chocolate Chip, Peanut Butter, or Oatmeal Raisin)",What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Mint Chip ice cream cone,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Vanilla ice cream cone,What percentage of other respondents of this survey would you estimate answer each of the following? (Please give numbers between 0 and 100 so that your numbers sum to 100%) - Strawberry ice cream cone,Indicate how much you agree or disagree with each statement below. - It is important that others like the products and brands I buy.,"Indicate how much you agree or disagree with each statement below. - When buying products, I generally purchase those brands that I think others will approve of.","Indicate how much you agree or disagree with each statement below. - If other people can see me using a product, I often purchase the brand they expect me to buy.","Indicate how much you agree or disagree with each statement below. - If I want to be like someone, I often try to buy the same brands that they buy.",Indicate how much you agree or disagree with each statement below. - Display Order,"Indicate how much you agree or disagree with each statement below. - To make sure I buy the right product or brand, I often observe what others are buying and using.","Indicate how much you agree or disagree with each statement below. - If I have little experience with a product, I often ask my friends about the product.",Indicate how much you agree or disagree with each statement below. - I often consult other people to help choose the best alternative available from a product class.,Indicate how much you agree or disagree with each statement below. - I frequently gather information from friends or family about a product before I buy.,Indicate how much you agree or disagree with each statement below. - Display Order,Please indicate your sex:,How old are you? - years old,"Any questions, comments, or suggestions for this study?",workerId,assignmentId,hitId,grouped category,order,europe,west coast,cookies,sporting event,FL_7 - Block Randomizer - Display Order,FL_35 - Block Randomizer - Display Order,FL_4 - Block Randomizer - Display Order,FL_20 - Block Randomizer - Display Order,FL_17 - Block Randomizer - Display Order,FL_13 - Block Randomizer - Display Order,FL_23 - Block Randomizer - Display Order,FL_29 - Block Randomizer - Display Order,FL_45 - Block Randomizer - Display Order,FL_40 - Block Randomizer - Display Order,FL_60 - Block Randomizer - Display Order
2021-08-09 10:00:47,2021-08-09 10:02:34,0,217,100,107,1,2021-08-09 10:02:35,R_3jZGJpTeRKyWcHU,,,,,anonymous,EN,,,,,Germany,Musical,Washington,Mint Chip,,,,,25,25,25,25,,,,,,,,,25,35,28,12,,,,,,,,,,,,,25,25,25,25,,,,,,,,,,,,,,,,,35,30,19,16,,,,,,,,,1,1,1,1,3|4|1|2,6,7,7,7,2|3|4|1,1,31,"No, thank you.",A2BW6WD7LZ9EGV,3GFK2QRXXA0VGM4ZFBV7R70U5BW5WB,308KJXFUJRPY8RESP0CBNEDPTGLTA1,bottom,inference first,packed,unpacked,packed,unpacked,FL_8,FL_37,FL_6,FL_21,FL_19,FL_14,,,Weekendtrip-inference|Entertainment-inferences|Desert-Inference|Vacation-Inference,Entertainment-choice|Dessert-choice|Weekendtrip-choice|Vacation-choice,SusceptibilitytoInformationalSocialInfluence|SusceptibilitytoNormativeSocialInfluence
2021-08-09 10:00:56,2021-08-09 10:02:45,0,473,100,108,1,2021-08-09 10:02:46,R_2COHgUWebeHdEJD,,,,,anonymous,EN,,,,,Japan,MLB Game,Portland,Strawberry,,,,,,,,,,,,,83,5,10,2,,,,,,,,,,,,,90,1,5,4,,,,,,,,,,,,,75,10,10,5,,,,,,,,,65,15,15,5,,,,,3,2,3,2,1|4|2|3,4,6,5,5,4|1|3|2,1,30,,A3493E42N1JZVF,3R2UR8A0IBZWDWF7UVNS2WESV76OXP,3L4YG5VW9NBPP9L7NK3Y8B39BXVDD5,top,inference first,packed,packed,unpacked,packed,FL_9,FL_37,FL_6,FL_22,FL_18,FL_15,,,Vacation-Inference|Entertainment-inferences|Weekendtrip-inference|Desert-Inference,Weekendtrip-choice|Dessert-choice|Entertainment-choice|Vacation-choice,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
2021-08-09 10:00:56,2021-08-09 10:03:27,0,106,100,150,1,2021-08-09 10:03:27,R_ZKR0Ktvxeu8wlP3,,,,,anonymous,EN,,,,,Vietnam,Cultural event theater,Washington D.C.,Ice cream cone Mint Chip,,,,,0,50,50,0,,,,,,,,,0,0,0,100,,,,,,,,,,,,,,,,,0,0,50,50,,,,,,,,,0,50,0,50,,,,,,,,,,,,,4,5,5,5,4|1|3|2,3,3,4,5,4|3|2|1,1,37,,A1JGZD9FUDYJ30,3IOEN3P9S82YYPOAN6GRQNO05TY61T,38G0E1M85MOX0SWF00THOXD4X4TVUV,bottom,inference first,packed,packed,unpacked,unpacked,FL_8,FL_37,FL_6,FL_22,FL_18,FL_14,,,Entertainment-inferences|Desert-Inference|Vacation-Inference|Weekendtrip-inference,Dessert-choice|Vacation-choice|Entertainment-choice|Weekendtrip-choice,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
2021-08-09 10:01:53,2021-08-09 10:03:28,0,548,100,94,1,2021-08-09 10:03:29,R_22mgnYiJw6vJjTf,,,,,anonymous,EN,,,,,germany,opera,washington dc,strawberry,40,30,20,10,,,,,,,,,,,,,,,,,10,10,10,70,,,,,,,,,,,,,10,30,50,10,,,,,,,,,,,,,20,30,20,30,,,,,,,,,1,1,1,6,4|3|1|2,6,5,5,5,3|2|4|1,1,25,,A17VFZIAVVCCSQ,374TNBHA8CEOYDIXE41YAFG1CEIQY5,3WPCIUYH1ARW6YH49A3DDFLVEJITD3,bottom,inference first,unpacked,packed,packed,packed,FL_8,FL_37,FL_5,FL_22,FL_19,FL_15,,,Desert-Inference|Entertainment-inferences|Vacation-Inference|Weekendtrip-inference,Weekendtrip-choice|Dessert-choice|Entertainment-choice|Vacation-choice,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
2021-08-09 10:00:39,2021-08-09 10:04:03,0,76,100,203,1,2021-08-09 10:04:03,R_2U3FIaM4SePbqgK,,,,,anonymous,EN,,,,,Japan,Concert,Portland,Mint chip,,,,,,,,,50,15,15,20,,,,,,,,,,,,,30,35,25,10,,,,,,,,,,,,,20,30,25,25,,,,,,,,,,,,,,,,,15,30,30,25,1,1,1,1,2|1|4|3,1,1,1,1,4|3|1|2,1,44,,A24DSECWUBZC0Z,39KFRKBFIOELD15HZR9ULAL1XD0YO5,38G0E1M85MOX0SWF00THOXD4X4TVUV,top,inference first,unpacked,unpacked,packed,unpacked,FL_9,FL_37,FL_5,FL_21,FL_19,FL_14,,,Weekendtrip-inference|Entertainment-inferences|Vacation-Inference|Desert-Inference,Dessert-choice|Vacation-choice|Entertainment-choice|Weekendtrip-choice,SusceptibilitytoInformationalSocialInfluence|SusceptibilitytoNormativeSocialInfluence
2021-08-09 10:01:25,2021-08-09 10:04:15,0,406,100,169,1,2021-08-09 10:04:15,R_3fqIZGCzLSvNj7E,,,,,anonymous,EN,,,,,Italy,St Louis Blues,Boston,mint chip ice cream,20,20,50,10,,,,,,,,,,,,,,,,,5,20,20,55,,,,,,,,,60,5,15,20,,,,,,,,,,,,,,,,,70,5,10,15,,,,,,,,,2,4,3,4,3|4|2|1,4,5,5,6,2|3|4|1,1,36,,ARQR5NIFA1AJ,3LKC68YZ3BMHOWAHKQR60D0LM50OWW,3W5PY7V3UPQ5Q6GQTCCNOU8NY5XYJB,bottom,choice first,unpacked,unpacked,packed,packed,FL_8,FL_36,FL_5,FL_21,FL_19,FL_15,Entertainment-choice|Vacation-choice|Dessert-choice|Weekendtrip-choice,Entertainment-inferences|Vacation-Inference|Weekendtrip-inference|Desert-Inference,,,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
2021-08-09 10:02:07,2021-08-09 10:04:19,0,521,100,131,1,2021-08-09 10:04:19,R_xzSpBkuJtVMqXnz,,,,,anonymous,EN,,,,,Japan,Theater,Washington D.C.,Mint Chip ice cream cone,,,,,,,,,,,,,25,25,25,25,,,,,,,,,,,,,50,10,20,20,,,,,,,,,20,40,20,20,,,,,,,,,,,,,,,,,30,20,25,25,1,1,1,4,1|4|2|3,1,5,1,5,3|2|1|4,2,42,,A2VPCWI6X1QCDF,382M9COHEIYIK18NVC99DDLAXNJUEZ,3INZSNUD809DMJ8QB4YWMFKJKCGD9O,top,choice first,packed,unpacked,packed,packed,FL_9,FL_36,FL_6,FL_21,FL_19,FL_15,Dessert-choice|Entertainment-choice|Weekendtrip-choice|Vacation-choice,Entertainment-inferences|Desert-Inference|Weekendtrip-inference|Vacation-Inference,,,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
2021-08-09 10:01:52,2021-08-09 10:04:21,0,328,100,149,1,2021-08-09 10:04:22,R_zbVbaQtSTrYI3vz,,,,,anonymous,EN,,,,,Italy,NFL,Boston,Vanilla ,35,15,45,5,,,,,,,,,,,,,40,10,15,35,,,,,,,,,,,,,,,,,25,10,40,25,,,,,,,,,,,,,20,45,5,30,,,,,,,,,6,5,6,6,4|1|3|2,5,5,6,5,4|2|1|3,1,49,,AKSLU0C30G3JT,3TXD01ZLD500SZBU66XW4R9JKYPU4T,3J06WJ78HN3XD7LF5Q3MKJFNBB2VVK,bottom,inference first,unpacked,packed,packed,unpacked,FL_8,FL_37,FL_5,FL_22,FL_19,FL_14,,,Vacation-Inference|Desert-Inference|Entertainment-inferences|Weekendtrip-inference,Weekendtrip-choice|Vacation-choice|Entertainment-choice|Dessert-choice,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
2021-08-09 10:00:46,2021-08-09 10:04:22,0,338,100,216,1,2021-08-09 10:04:23,R_3ekuKEUXUkYhWae,,,,,anonymous,EN,,,,,Italy,Theater,San Francisco,Chocolate Chip Cookie,,,,,,,,,10,35,20,35,,,,,,,,,,,,,,,,,50,2,23,25,,,,,,,,,,,,,40,15,15,30,,,,,,,,,,,,,40,10,30,20,2,1,1,1,1|3|2|4,6,6,6,7,3|4|1|2,2,28,,A2LUL0QE90HUU5,3GFK2QRXXA0VGM4ZFBV7R70U5AVW5Z,374UMBUHN58M16BQ9E82T93DTJ6TC3,top,choice first,unpacked,packed,packed,packed,FL_9,FL_36,FL_5,FL_22,FL_19,FL_15,Entertainment-choice|Weekendtrip-choice|Vacation-choice|Dessert-choice,Entertainment-inferences|Desert-Inference|Vacation-Inference|Weekendtrip-inference,,,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
2021-08-09 10:00:36,2021-08-09 10:04:25,0,75,100,228,1,2021-08-09 10:04:25,R_2xRvCpzbloVvrQd,,,,,anonymous,EN,,,,,China,MLB,Boston,Chocolate Chip cookie,,,,,55,10,10,25,,,,,,,,,,,,,5,5,10,80,,,,,,,,,,,,,90,5,5,0,,,,,,,,,40,15,15,30,,,,,,,,,,,,,1,1,1,1,1|3|4|2,1,1,1,1,2|1|4|3,1,47,,A2NXMRPHG86N2T,320DUZ38G857QZTKP8VJ6EXBTN0JG9,3XEDXEGFX3734VQN3P1QXHEG1HJ0KC,bottom,choice first,packed,packed,unpacked,packed,FL_8,FL_36,FL_6,FL_22,FL_18,FL_15,Entertainment-choice|Vacation-choice|Dessert-choice|Weekendtrip-choice,Vacation-Inference|Entertainment-inferences|Desert-Inference|Weekendtrip-inference,,,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
2021-08-09 10:00:54,2021-08-09 10:04:28,0,384,100,213,1,2021-08-09 10:04:29,R_2c0o02gRTmWgQZi,,,,,anonymous,EN,,,,,France,NBA game,Seattle,Oatmeal Raisin cookie  ,,,,,,,,,,,,,70,10,10,10,,,,,,,,,10,40,40,10,,,,,,,,,,,,,,,,,30,30,20,20,,,,,,,,,15,40,20,25,,,,,3,2,2,3,3|4|1|2,4,6,6,6,2|1|4|3,2,30,,A1KFCJJF5T6NC2,3X08E93BHW1T5BP7TCS8LJFHD4E66R,38G0E1M85MOX0SWF00THOXD4X4TVUV,top,inference first,packed,packed,unpacked,unpacked,FL_9,FL_37,FL_6,FL_22,FL_18,FL_14,,,Desert-Inference|Entertainment-inferences|Weekendtrip-inference|Vacation-Inference,Entertainment-choice|Weekendtrip-choice|Dessert-choice|Vacation-choice,SusceptibilitytoInformationalSocialInfluence|SusceptibilitytoNormativeSocialInfluence
2021-08-09 10:00:45,2021-08-09 10:04:30,0,246,100,225,1,2021-08-09 10:04:31,R_AvdkD87gRh9gp7H,,,,,anonymous,EN,,,,,Germany,Musical,Portland,Peanut Butter cookie,30,10,50,10,,,,,,,,,,,,,,,,,20,30,10,40,,,,,,,,,50,10,20,20,,,,,,,,,,,,,30,20,0,50,,,,,,,,,,,,,2,2,4,2,1|4|2|3,2,5,5,2,1|4|3|2,1,39,none,A6HDSE80LQPR8,3ZV9H2YQQEQS27HV1S7ECA2ARE4W39,33BFF6QPI1UQGNJ1BQ2CNQ6IR0BW3Y,bottom,choice first,unpacked,unpacked,unpacked,packed,FL_8,FL_36,FL_5,FL_21,FL_18,FL_15,Vacation-choice|Dessert-choice|Entertainment-choice|Weekendtrip-choice,Desert-Inference|Weekendtrip-inference|Entertainment-inferences|Vacation-Inference,,,SusceptibilitytoNormativeSocialInfluence|SusceptibilitytoInformationalSocialInfluence
